id,name,apiName,category,effect,target,status,reason
915,Temper Flare,temper-flare,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
916,Supercell Slam,supercell-slam,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
917,Psychic Noise,psychic-noise,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
918,Upper Hand,upper-hand,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
919,Malignant Chain,malignant-chain,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
10001,Shadow Rush,shadow-rush,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
10002,Shadow Blast,shadow-blast,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
10003,Shadow Blitz,shadow-blitz,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
10004,Shadow Bolt,shadow-bolt,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
10005,Shadow Break,shadow-break,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
10006,Shadow Chill,shadow-chill,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
10007,Shadow End,shadow-end,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
10008,Shadow Fire,shadow-fire,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
10009,Shadow Rave,shadow-rave,special,None,opponents-field,partial,base damage path likely works; special mechanic not confirmed
10010,Shadow Storm,shadow-storm,special,None,opponents-field,partial,base damage path likely works; special mechanic not confirmed
10011,Shadow Wave,shadow-wave,special,None,opponents-field,partial,base damage path likely works; special mechanic not confirmed
10012,Shadow Down,shadow-down,status,None,opponents-field,todo,no explicit mechanic handler
10013,Shadow Half,shadow-half,special,None,entire-field,partial,base damage path likely works; special mechanic not confirmed
10014,Shadow Hold,shadow-hold,status,None,opponents-field,todo,no explicit mechanic handler
10015,Shadow Mist,shadow-mist,status,None,opponents-field,todo,no explicit mechanic handler
10016,Shadow Panic,shadow-panic,status,None,opponents-field,todo,no explicit mechanic handler
10017,Shadow Shed,shadow-shed,status,None,entire-field,todo,no explicit mechanic handler
10018,Shadow Sky,shadow-sky,status,None,entire-field,todo,no explicit mechanic handler
